price,area,pricePerM2,date
2.63,75,35.07,2023/06/03
2.5,85,29.41,2023/06/03
2.75,85,32.35,2023/06/03
2.57,85,30.24,2023/06/03
2.2,75,29.33,2023/06/03
2.3,75,30.67,2023/06/03
2.3,75,30.67,2023/06/03
2.5,85,29.41,2023/06/03
2.63,75,35.07,2023/06/03
2.6,85,30.59,2023/06/03
2.1,75,28,2023/06/03
2.57,85,30.24,2023/06/03
3.68,110,33.46,2023/06/03
2.35,75,31.33,2023/06/02
2.8,85,32.94,2023/06/02
2.4,75,32,2023/06/02
2.25,87,25.86,2023/06/02
2.4,70,34.29,2023/06/02
3.35,95,35.26,2023/06/02
2.1,75,28,2023/06/02
