title,ree,tta,hnd,nt2,pgv,pow,ppc,qtp,chp,hna,tbc,tmp,vsh
Price 52W Min,57.44,8.00,11.00,18.84,15.03,8.91,10.50,10.06,19.76,13.20,24.72,45.45,22.90
Price 52W Max,98.54,15.05,18.62,30.71,34.18,17.10,22.21,17.61,26.10,21.00,34.50,62.50,48.00
% decrease,,,,,,,,,,,,,
Price3,,,,,,,,,,,,,
Price2,,,,,,,,,,,,,
Price1,,,,,,,,,,,,,
Exchange,HSX,HSX,UPCOM,HSX,HSX,HSX,HSX,UPCOM,HSX,UPCOM,HSX,HSX,HSX
VN30/HNX30,,,,,,,,,,,,,
Liquidity (Avg.10d),0.18,0.22,0.01,0.61,0.01,9.54,0.23,0.24,0.01,0.01,0.00,0.00,0.04
Capitalization,23989.67,1354.18,6850.00,8060.53,20671.81,31029.80,4408.43,6570.00,3643.43,4257.70,2095.50,3640.00,8977.17
Quick Ratio,1.75,0.51,1.96,1.43,1.40,1.23,3.90,2.13,1.29,1.78,3.18,5.00,1.71
Current Ratio,2.10,0.51,2.23,1.54,1.54,1.35,4.70,2.38,1.32,1.84,3.22,5.02,1.89
D/E,0.77,1.38,0.30,0.63,2.75,0.71,0.12,0.31,0.65,0.17,0.16,0.36,0.93
Debt ratio (DTI),0.43,0.58,0.23,0.39,0.73,0.42,0.11,0.23,0.39,0.15,0.14,0.26,0.48
P/E,8.91,6.07,12.53,11.05,8.19,16.39,8.87,8.60,7.41,7.30,6.47,6.32,7.10
P/B,1.25,0.70,1.08,1.81,1.17,0.94,0.85,1.07,1.84,1.27,1.52,2.15,1.79
EPS,"7,576","1,417","1,094","2,533","2,247",809,"1,551","1,698","3,349","2,480","5,101","8,229","5,354"
